"","ColdCorals_allmpashabitat","ColdCorals_habitat","CoralReefs_allmpashabitat","CoralReefs_habitat","KnollsSeamounts_allmpashabitat","KnollsSeamounts_habitat","Mangroves_allmpashabitat","Mangroves_habitat","Saltmarsh_allmpashabitat","Saltmarsh_habitat","Seagrass_allmpashabitat","Seagrass_habitat"
"69",4,413.986389160156,191298.015625,555.983581542969,2,160,0,2,0,0,0,0
"70",4,0,504020.28125,258.958282470703,3.01175737380981,596,0,0,0,0,0,0
"71",0,0,398193.5,0,0,0,0,0,88257,0,0,0
"72",0,11,105471.7265625,0,0,1,0,0,0,0,0,0
"73",1,873.599792480469,337056.75,1,0,0,0,0,0,0,0,0
"74",3045.1064453125,0,7600,0,50,353.475036621094,0,0,0,0,0,0
"75",34.0208892822266,166,59166.3125,86,66,595,0,0,11,0,0,4
"76",21,416.528747558594,116146.1640625,102,0,792,0,0,0,0,0,0
"77",6,39,17566.78515625,9,0,333,0,10,0,0,0,0
"78",4,779,287124.15625,554,0,1654,0,0,0,0,0,0
"79",198,0,636942.375,0,0,0,4,0,708,0,0,0
"80",6,588,347746.46875,5396.69482421875,0,2937.45751953125,0,0,0,0,0,0
"81",9,401.802459716797,485700.25,31,1,3,0,0,0,0,0,0
"82",0,0,77928.6875,0,55,5,0,0,0,0,0,0
"83",205.013580322266,0,2556288,0,68231.53125,315.831878662109,5,0,74317.46875,0,27,0
"84",3,0,407787.8125,0,1,47,0,0,0,0,0,0
"85",38,3,837298.9375,27,1036.74475097656,434.237823486328,9,3,20102.98046875,0,0,358.235565185547
"86",2,1002,352237.0625,10,2,3689,0,2,0,0,0,1
"87",0,242.608963012695,14341.7294921875,9,0,0,0,0,0,0,0,0
"88",0,2,0,0,0,24.2258682250977,0,0,0,0,0,0
"89",18,0,187304.140625,0,135,850.537536621094,0,0,76,0,2,46
"90",0,0,10734.0185546875,0,3.96954083442688,26.4710178375244,0,0,7.53216457366943,0,0.96954083442688,2
"91",53,534,771000.0625,2766.841796875,0,429,0,7,64,1,0,1
"92",6,449.953094482422,145598.828125,761.839721679688,785.44970703125,5541,0,0,0,0,0,0
"93",0,0,325800.59375,0,266,16.2508449554443,0,0,526,0,0,1
"94",4,102.594062805176,169015.578125,166,75,2874.63427734375,0,2,0,0,0,0
"95",828,0,1214230.875,312,207,50,70,0,9680,1,0,1
"96",2,251,955022.4375,0,2,0,0,0,0,0,0,0
"97",0,66,19631.5625,102.520301818848,0,0,0,0,8,0,0,0
"98",0,1,552.433349609375,0,0,0,0,0,0,0,0,0
"99",0,0,1726.46154785156,0,0,7,0,0,0,0,0,0
"100",1,582.115661621094,2601188.75,203.223892211914,5389.8935546875,8090,0,25,3498,1,417,337
"101",10,0,239089.390625,0,0,0,1,0,141425.75,0,0,0
"102",73.2932281494141,0,41238.53125,0,102.626388549805,394.044891357422,0,0,1.46783542633057,0,0.0304591953754425,0
"103",0,0,111627.078125,0,6521.32373046875,75.3827285766602,0,0,0,0,0,0
"104",84,0,1030155.875,0,664.777465820312,1,0,0,0,0,0,0
"105",0,0,19073.078125,0,140.69596862793,31.3931045532227,0,0,0,0,0,0
"106",10,0,162996.296875,42.9547576904297,0,0,0,0,0,0,0,0
"107",15.9422416687012,45.161304473877,9691.3076171875,1,0,10,0,1,0,0,0,0
"108",23,0,28725.751953125,0,0,0,0,0,0,0,0,0
"109",40,0,202870.5625,0,0,1,3,0,7898.07958984375,0,0,0
"110",9,108,40818.97265625,38,0,757,2,30,338,1,0,202
"111",414.925262451172,2202,120776.9921875,1483,326,2269,5,89,827,3,0,31
"112",0,150.728729248047,5771.54638671875,5,2.47692775726318,1144.69616699219,0,1.0128310918808,45.3787536621094,0,0,88
"113",1424.50622558594,749,3251493.5,2336,17186.779296875,13396.16796875,2,140,994,0,2,43
"114",230,683,3341069,11357,2915,546,0,270,30865,27,26,7
"115",0,0,62187.01953125,0,225,99,0,0,65,0,26,12
"116",2,0,52419.85546875,0,0,0,1,0,14424,0,0,0
"117",2,13,151557.140625,0,0,0,0,12,14819,0,0,0
"118",0,11,192492.515625,0,0,0,0,0,0,0,0,0
"119",20,0,113616.9140625,0,1.22260272502899,1,0,0,0,0,0,0
"120",19,0,498899.09375,0,3907,3,0,0,16.6764888763428,0,0,0
"121",53,123,368492.9375,56,9,0,0,0,0,0,0,0
"122",4,324,47656.8984375,157.072006225586,0,754,0,0,0,0,0,0
"123",1,5,222120.109375,0,0,0,0,0,0,0,0,0
"124",2,7361.25439453125,926322.375,4449.02783203125,0,9257.9140625,0,0,16.8469753265381,0,0,0
"125",248,0,705642,0,1613.27453613281,181,0,0,906,0,0,0
"126",1,12,1291.49060058594,0,0,20,0,0,0,0,0,0
"127",0,1765.47265625,273722.53125,1087.01635742188,5973,82,0,66,58,11,20,2
"128",0,0,52785.16015625,1488,0,4407.76513671875,0,0,0,0,0,0
"129",0,6,76243.8203125,4517.85595703125,0,1,0,0,1928.91198730469,33,0,0
"130",3,3341,713432.25,480,1295,1732,0,0,2,0,0,3
"131",0,1.82705211639404,15289.3671875,0,0,19.0156841278076,0,0,0,0,0,0
"132",0,0,41765.45703125,369.428894042969,0,0,0,0,0,0,0,0
"133",0,3024,2195331.75,1,0,784,0,0,31.1160926818848,0,0,0
"134",2,134,71805.2265625,44,0,54,0,5,0,0,0,2
"135",0,2720,388787.03125,3,0,2405,0,4,37.0052719116211,0,0,0
"136",11.1269159317017,0,44326.3125,0,2,5061,0,0,0,0,0,5
"137",0,4,83617.9609375,0,0,0,0,0,0,0,0,0
"138",14,28,28562.716796875,81,0,45,0,3,0,0,0,0
"139",0,0,0,0,0,0,0,0,0,0,0,0
"140",0,108,214797.53125,0,0,222,0,0,0,0,0,0
"141",6,64,18789.052734375,22,0,547,0,23,6,1,0,123
"142",9,75,305291.5,380,6,6,2,2,1482.96496582031,0,0,0
"143",0,71,3922.44140625,0,11340.650390625,1594.06628417969,0,0,0,0,3,0
"144",167,0,480192.4375,0,0,0,51,0,168148.984375,0,0,0
"145",0,0,1124137.5,0,0,24,0,0,0,0,0,0
"146",0,0,5322.66552734375,0,0,3,0,0,0,0,0,0
"147",142,19995.560546875,2488565.75,29124.90625,0,17864,0,130,660.112731933594,2,0,90
"148",478.227813720703,0,115054.3125,0,99,53.5147514343262,0,0,0,0,0,0
"149",9,2020,839145.9375,1,0,532,0,0,0,0,0,0
"150",364,0,4676413,0,0,0,0,0,0,0,0,0
"151",5,0,8853.5791015625,0,0,68,0,0,0,0,0,0
"152",0,165,18587.447265625,0,0,0,0,0,0,0,0,0
"153",0,42,80511.8359375,631.659118652344,1,6,0,0,0,0,0,0
"154",1,732,651689.25,5,0,143.102035522461,0,0,0,0,0,0
"155",0,141,147133.375,0,0,478,0,0,0,0,0,0
"156",13,27,9479.078125,0,0,10,0,0,0,0,0,0
"157",0,0,13725.0966796875,0,0,0,0,0,0,0,0,0
"158",0,2757.8232421875,773867.125,528,0,1245,0,0,5.50410127639771,0,0,0
"159",3,1584,67759.921875,75,0,19.5939426422119,0,0,0,0,0,0
"160",3,0,115920.4453125,1508.54028320312,642.020751953125,0,0,0,320,0,0,0
"161",152.810134887695,0,192587.359375,0,68,4,0,0,0,0,0,0
"162",0,241,55657.6796875,0,0,1260,0,0,0,0,0,0
"163",0,0,137245.0625,0,0,0,0,0,0,0,0,0
"164",8,2150.71020507812,310180.4375,5243.5927734375,0,658.956237792969,0,148,1210.4462890625,0,0,109
"165",6,0,192834.34375,0,0,0,6,0,54,0,0,0
"166",41.3570442199707,0,171695.453125,0,0,0,0,0,0,0,0,0
"167",236.996658325195,0,413277.875,0,803,1530.02209472656,0,0,99,0,1,13.0220880508423
"168",0,14,13987.828125,8,0,1,0,0,0,0,0,0
"169",1,0,107723.1171875,2224.16967773438,0,12801.0048828125,0,0,0,0,0,0
"170",20.9791107177734,341,154253.65625,193.927993774414,0,347,0,0,0,0,0,0
"171",25,525,223786.828125,0,0,4,0,12,9,0,0,0
"172",1,62,43718.4375,5,27,251,0,34,24,0,3,54
"173",3,0,233218.0625,0,0,0,0,0,0,0,0,0
"174",1,662.032897949219,418971.03125,14,1,5467.7607421875,0,0,0,0,0,0
"175",12,1700,329171.65625,2988,0,724.76220703125,0,0,0,0,0,3.76444029808044
"176",0,3,403.085662841797,0,0,49.0120544433594,0,0,0,0,0,0
"177",10.0577583312988,41.838695526123,15140.2041015625,2,0,1,0,10,0,0,0,0
"178",0,0,108913.390625,0,0,0,0,0,0,0,0,0
"179",1,0,52843.75390625,0,0,0,0,0,5218,0,0,0
"180",7,0,134199.5,192.04524230957,0,0,0,0,0,0,0,0
"181",67,351,466207.75,2838.68505859375,2582,1317,0,0,0,0,0,0
"182",8,20,16195.8212890625,0,0,523,0,0,5,0,0,7
"183",0,4,176279.140625,0,0,154,0,0,0,0,0,0
"184",8,36,11148.3173828125,1,0,93.3360824584961,0,3,138,0,0,14
"185",6,28.4712657928467,6262.2294921875,0,0,0,5,2,1083,0,0,0
"186",0,0,2524.13134765625,0,1,2,0,0,0,0,0,0
"187",0,0,79253.171875,0,1,20,0,0,0,0,0,0
"188",0,0,98110.9921875,23.0422286987305,0,0,0,0,0,0,0,0
"189",4,382,145952.4375,3,49,1233,0,0,0,0,0,0
"190",0,11.9344606399536,183.254013061523,0,0,0,0,0,0,0,0,0
"191",2,0,14270.3642578125,0,1.08984375,2,0,0,0,0,0,0
"192",3,0,0,0,302,1521.796875,0,0,0,0,0,0
"193",0,0,1101.60546875,0,0,0,0,0,0,0,0,0
"194",4,505,349010.28125,50,0,736,1,67,276325.875,0,0,48
"195",0,1800,293003.34375,0,0,10,0,1791,292801.1875,0,0,9
"196",0,52,27886.65625,0,0,0,0,0,0,0,0,0
"197",1,0,39982.984375,26,0,1340.94665527344,0,0,0,0,0,0
"198",17,688,309219.96875,13,2,1237,0,0,0,0,0,0
"199",5,0,329720.75,0,0,0,0,0,303841.125,0,0,0
"200",0,0,6971.98486328125,0,0,3,0,0,0,0,0,0
"201",0,0,317477.28125,0,4,6017.95947265625,0,0,0,0,0,0
"202",0,15,126317.125,0,0,0,0,1,0,0,0,0
"203",1,165,830557,0,0,0,0,0,0,0,0,0
"204",7,1248.40588378906,1286290.5,3406.22631835938,2157.73291015625,2665.36572265625,0,0,7.08804512023926,0,0,0
"205",0,0,79374.5546875,0,8,6,0,0,40,0,0,0
"206",0,0,123736.6640625,0,206.697799682617,523.515625,0,0,9,0,0,0
"207",62,0,800898.625,0,4769.22265625,0,0,0,19,0,24,0
"208",0,1026.80847167969,2567.54223632812,0,0,0,0,0,0,0,0,0
"209",0,7,1379.962890625,8,0,139.043762207031,0,0,0,0,0,0
"210",1,0,25233.84765625,0,20,94,0,0,0,0,0,2
"211",9,0,263229.0625,0,0,0,0,0,0,0,0,0
"212",3,872.889282226562,16152.6123046875,525.1943359375,0,4921.3984375,2,86.0810852050781,417.987274169922,1,0,289
"213",7,1,1861.10925292969,0,0,13,0,0,0,0,0,0
"214",94.0251235961914,1052,1991339.125,12,9,546,0,0,0,0,0,0
"215",4,69,12319.775390625,1,0,34,0,0,0,0,0,0
"216",12,716.046875,134232.359375,607.020874023438,30.5503177642822,2750,0,7,96,0,0,0
"217",28,0,63023.10546875,0,3,2116,0,0,0,0,0,0
"218",2,199,61436.953125,0,0,983,0,0,0,0,0,0
"219",0,99,185434.78125,0,0,0,0,0,0,0,0,0
"220",5,41,12221.5810546875,1,0,12,0,0,0,0,0,0
"221",2,0,311105.875,0,214.243515014648,0,0,0,0,0,0,0
"222",7,31,88045.640625,0,0,87,0,0,0,0,0,0
"223",9,0,716597.75,58.9867248535156,281.979278564453,0,0,0,0,0,0,0
"224",32.8935852050781,0,0,0,358,1274.8193359375,0,0,0,0,0,7
"225",0,2187.4833984375,199393.375,2,54,2466.19140625,0,0,313,0,0,0
"226",1,45,208349.375,0,1,464,0,9,170,0,0,7
"227",18,0,2357454.25,0,9329,747.040466308594,4,0,55078,0,575,4
"228",0,81,170354.0625,0,0,0,0,0,0,0,0,0
"229",10,2397,436657.6875,2725,55,5751,0,0,0,0,0,0
"230",1,21,6268.6103515625,2,0,4,0,3,21,0,0,0
"231",6,0,24043.833984375,0,57.91015625,58.2116432189941,0,0,61,0,0,1
"232",1,6.19178056716919,79737.46875,262.710540771484,0,3.60156178474426,0,0,0,0,0,0
"233",0,3,244995.5625,0,0,0,0,2,1557,0,0,0
"234",0,0,18973.021484375,613.300598144531,200,0,0,0,0,0,0,0
"235",0,0,668149.625,244.999496459961,0,0,0,0,0,0,0,0
"236",524,0,55340.70703125,0,30,29,0,0,0,0,0,0
"237",0,38,321681.3125,0,0,0,0,27,321495.03125,0,0,0
"238",8,0,160937.6875,177,99,2715.4638671875,0,0,0,0,0,0
"239",3,25,55028.59765625,0,0,25.762077331543,0,0,0,0,0,0
"240",0,0,403034.40625,0,0,28,0,0,0,0,0,0
"241",0,0,190525.765625,0,0,0,0,0,103477.3359375,0,0,0
"242",0,0,28124.361328125,0,0,0,0,0,0,0,0,0
"243",0,0,51950.6328125,0,0,0,0,0,0,0,0,0
"244",0,0,17365.865234375,0,0,0,0,0,0,0,0,0
"245",0,0,98078.3359375,0,0,0,0,0,0,0,0,0
"246",0,0,5150.9140625,0,0,0,0,0,0,0,0,0
"247",0,0,711135.6875,0,0,0,0,0,0,0,0,0
"248",0,0,215908.765625,0,0,0,0,0,0,0,0,0
"249",0,0,0,0,0,0,0,0,0,0,0,0
"250",0,0,86322.375,0,0,0,0,0,0,0,0,0
"251",0,0,17592.521484375,0,0,0,0,0,0,0,0,0
"252",0,0,0,0,0,0,0,0,0,0,0,0
"253",0,0,164388.015625,0,0,0,0,0,0,0,0,0
"254",0,0,120131.3984375,0,0,0,0,0,0,0,0,0
"255",0,0,152.688598632812,0,0,0,0,0,0,0,0,0
"256",0,0,27002.44921875,0,0,0,0,0,0,0,0,0
"257",0,0,146302.609375,0,0,0,0,0,0,0,0,0
"258",0,0,412293.375,0,0,0,0,0,0,0,0,0
"259",0,0,44186.86328125,0,0,0,0,0,0,0,0,0
"260",0,0,50.7192993164062,0,0,0,0,0,0,0,0,0
"261",0,0,28912.8515625,0,0,0,0,0,0,0,0,0
"262",0,0,27262.73828125,0,0,0,0,0,0,0,0,0
"263",0,0,12911.08203125,0,0,0,0,0,0,0,0,0
"264",0,0,295084.9375,0,0,0,0,0,0,0,0,0
"265",0,0,93387.703125,0,0,0,0,0,0,0,0,0
"266",0,0,292.928985595703,0,0,0,0,0,0,0,0,0
"267",0,0,349070.65625,0,0,0,0,0,0,0,0,0
"268",0,0,44406.1796875,0,0,0,0,0,0,0,0,0
"269",0,0,133908.625,0,0,0,0,0,0,0,0,0
"270",0,0,2961.50146484375,0,0,0,0,0,0,0,0,0
"271",0,0,85104.015625,0,0,0,0,0,0,0,0,0
"272",0,0,1865.45324707031,0,0,0,0,0,0,0,0,0
"273",0,0,6114.51513671875,0,0,0,0,0,0,0,0,0
"274",0,0,414673.875,0,0,0,0,0,0,0,0,0
"275",0,0,206991.03125,0,0,0,0,0,0,0,0,0
"276",0,0,395454.65625,0,0,0,0,0,0,0,0,0
"277",0,0,28526.431640625,0,0,0,0,0,0,0,0,0
"278",0,0,117591,0,0,0,0,0,0,0,0,0
"279",1429.77880859375,0,421194.46875,0,881.872314453125,1233,0,0,0,0,0,46
"280",1,254,652.336730957031,0,0,0,0,0,0,0,0,0
"281",0,0,0,0,0,0,0,0,0,0,0,0
"282",0,0,0,0,0,0,0,0,0,0,0,0
"283",3,0,5718.15869140625,0,0,0,0,0,0,0,0,0
"284",4,150,0,0,0,0,0,0,0,0,0,0
"285",174.583206176758,0,336381.125,0,445,4264.48388671875,0,0,276,0,91,80
"286",0,0,0,0,0,0,0,0,0,0,0,0
"287",0,0,7992.80419921875,0,3.60623598098755,0,0,0,1,0,0,0
"288",5,278,320684.84375,1,2.02296781539917,16,0,0,0,0,0,0
"289",0,0,237.544036865234,0,0,1.97791194915771,0,0,0,0,0,0.97791188955307
"290",0,0,7823.27197265625,0,19.4040699005127,0,0,0,0,0,0,0
"291",0,0,0,0,0,0,0,0,0,0,0,0
"292",0,0,0,0,0,0,0,0,0,0,0,0
"293",0,0,1305.91345214844,0,0,0,0,0,0,0,0,0
"294",0,0,0,0,0,0,0,0,0,0,0,0
"295",0,2,0,1,0,0,0,0,0,0,0,0
"296",0,0,39613.421875,0,0,0,0,0,0,0,0,0
"297",0,0,16768.734375,0,0,0,0,0,0,0,0,0
"298",0,0,17846.095703125,0,0,0,0,0,0,0,0,0
"299",0,0,0,0,0,0,0,0,0,0,0,0
"300",0,0,0,0,0,0,0,0,0,0,0,0
"301",0,0,0.566205501556396,0,0,0,0,0,0,0,0,0
"302",0,0,20965.8984375,0,0.883945822715759,0,0,0,0,0,0,0
"303",1,0,1736.89562988281,0,0,0,0,0,0,0,0,0
"304",0,0,22464.51171875,0,0,0,0,0,0,0,0,0
"305",0,0,841.590026855469,0,0,0,0,0,0,0,0,0
"306",5.57003450393677,0,1320.2109375,0,0,0,0,0,0,0,0,0
"307",0,0,11324.865234375,0,0,0,0,0,0,0,0,0
"308",0,0,0,0,0,0,0,0,0,0,0,0
"309",0,0,10351.0126953125,0,0,0,0,0,0,0,0,0
"310",1,0,9154.970703125,0,0,0,0,0,0,0,0,0
"311",0,0,1919.58142089844,0,0,0,0,0,0,0,0,0
"312",0,0,0,0,0,0,0,0,0,0,0,0
"313",0,0,12617.68359375,0,0,0,0,0,0,0,0,0
"314",0,0,10946.587890625,0,0,0,0,0,0,0,0,0
"315",0,0,22849.9140625,0,0,0,0,0,0,0,0,0
"316",0,0,0,0,0,0,0,0,0,0,0,0
"317",0,0,27472.57421875,0,0,0,0,0,0,0,0,0
"318",0,0,0,0,0,0,0,0,0,0,0,0
"319",0,0,95.4506759643555,0,0,0,0,0,0,0,0,0
"320",0,0,30.3157501220703,0,0,0,0,0,0,0,0,0
"321",289.099212646484,31676.57421875,4368711,9941,13235,42089,3,8109,210834.578125,3,1,1614
"322",0,38.8226470947266,0,113,0,61.0862007141113,0,0,0,0,0,0
"323",0,0,150333.484375,0,0,8,0,0,0,0,0,0
